vehicle_id,vehicle_type,start_time,end_time_1,distance_1,travel_time_1,speed_1,end_time_2,distance_2,travel_time_2,speed_2,end_time_3,distance_3,travel_time_3,speed_3,end_time_4,distance_4,travel_time_4,speed_4,end_time_5,distance_5,travel_time_5,speed_5
宁A91S22_0,1,2021/6/13 10:05,2021/6/13 10:06,3210.45,0.028056,114.43,2021/6/13 10:11,8856.04,0.077222,114.683,2021/6/13 10:13,3317.81,0.032778,101.221,2021/6/13 10:19,10380.7,0.096111,108.007,2021/6/13 10:29,22193.94,0.18,123.3
宁A0KF02_0,1,2021/6/13 10:08,2021/6/13 10:10,3210.45,0.029167,110.071,2021/6/13 10:15,8856.04,0.083333,106.273,2021/6/13 10:17,3317.81,0.036944,89.806,2021/6/13 10:23,10380.7,0.0975,106.469,2021/6/13 10:35,22193.94,0.197222,112.533
宁B5B977_0,1,2021/6/13 10:09,2021/6/13 10:10,3210.45,0.025556,125.624,2021/6/13 10:15,8856.04,0.078889,112.26,2021/6/13 10:17,3317.81,0.035556,93.312,2021/6/13 10:22,10380.7,0.088889,116.783,2021/6/13 10:33,22193.94,0.175278,126.621
宁A1JJ98_0,1,2021/6/13 10:09,2021/6/13 10:11,3210.45,0.026944,119.153,2021/6/13 10:16,8856.04,0.086389,102.514,2021/6/13 10:18,3317.81,0.0325,102.086,2021/6/13 10:24,10380.7,0.097222,106.773,2021/6/13 10:35,22193.94,0.181944,121.982
宁AD9702_0,1,2021/6/13 10:13,2021/6/13 10:14,3210.45,0.029444,109.036,2021/6/13 10:19,8856.04,0.083333,106.273,2021/6/13 10:21,3317.81,0.031389,105.7,2021/6/13 10:27,10380.7,0.102222,101.551,2021/6/13 10:39,22193.94,0.199167,111.434
甘JR4553_0,1,2021/6/13 10:13,2021/6/13 10:15,3210.45,0.034444,93.208,2021/6/13 10:21,8856.04,0.094722,93.495,2021/6/13 10:23,3317.81,0.035278,94.048,2021/6/13 10:29,10380.7,0.111667,92.961,2021/6/13 10:44,22193.94,0.243611,91.104
宁EG1718_0,1,2021/6/13 10:15,2021/6/13 10:16,3210.45,0.028611,112.21,2021/6/13 10:21,8856.04,0.078889,112.26,2021/6/13 10:23,3317.81,0.032778,101.221,2021/6/13 10:29,10380.7,0.095833,108.321,2021/6/13 10:51,22193.94,0.374722,59.228
宁AFY796_0,1,2021/6/13 10:16,2021/6/13 10:18,3210.45,0.032222,99.635,2021/6/13 10:24,8856.04,0.095,93.221,2021/6/13 10:26,3317.81,0.034722,95.554,2021/6/13 10:32,10380.7,0.100556,103.233,2021/6/13 10:44,22193.94,0.205278,108.117
津H00386_0,1,2021/6/13 10:17,2021/6/13 10:19,3210.45,0.029444,109.036,2021/6/13 10:24,8856.04,0.082778,106.985,2021/6/13 10:26,3317.81,0.031667,104.772,2021/6/13 10:32,10380.7,0.0975,106.469,2021/6/13 10:43,22193.94,0.181389,122.355
宁A9321K_0,1,2021/6/13 10:18,2021/6/13 10:20,3210.45,0.03,107.015,2021/6/13 10:25,8856.04,0.0825,107.346,2021/6/13 10:27,3317.81,0.033333,99.535,2021/6/13 10:32,10380.7,0.093889,110.564,2021/6/13 10:44,22193.94,0.197222,112.533
宁AR195L_0,11,2021/6/13 10:19,2021/6/13 10:22,3210.45,0.045278,70.905,2021/6/13 10:30,8856.04,0.125833,70.379,2021/6/13 10:32,3317.81,0.045556,72.829,2021/6/13 10:41,10380.7,0.14,74.148,2021/6/13 10:59,22193.94,0.306944,72.306
宁A29Q95_0,1,2021/6/13 10:21,2021/6/13 10:22,3210.45,0.028333,113.311,2021/6/13 10:27,8856.04,0.078611,112.656,2021/6/13 10:29,3317.81,0.030278,109.578,2021/6/13 10:34,10380.7,0.092778,111.888,2021/6/13 10:45,22193.94,0.184722,120.148
宁A9GK20_0,1,2021/6/13 10:21,2021/6/13 10:23,3210.45,0.036389,88.226,2021/6/13 10:29,8856.04,0.098333,90.062,2021/6/13 10:31,3317.81,0.036944,89.806,2021/6/13 10:38,10380.7,0.116667,88.977,2021/6/13 10:53,22193.94,0.248611,89.272
宁AP065S_0,1,2021/6/13 10:21,2021/6/13 10:23,3210.45,0.033333,96.314,2021/6/13 10:28,8856.04,0.091111,97.201,2021/6/13 10:31,3317.81,0.034722,95.554,2021/6/13 10:37,10380.7,0.1,103.807,2021/6/13 10:49,22193.94,0.204167,108.705
宁A1JK17_0,11,2021/6/13 10:22,2021/6/13 10:24,3210.45,0.034444,93.208,2021/6/13 10:30,8856.04,0.097778,90.573,2021/6/13 10:32,3317.81,0.035833,92.591,2021/6/13 10:38,10380.7,0.113056,91.819,2021/6/13 10:53,22193.94,0.241389,91.943
