u,v,key,osmid,bridge,oneway,lanes,name,highway,reversed,length,ref,width,tunnel,access,maxspeed,junction,fid
276556859,1492609349,0,136004881,yes,True,4,人民南路四段,primary,False,75.78,,,,,,,0
276556859,9243379223,0,"[136011448, 136011380, 136011447]",yes,True,,人南立交,primary_link,False,383.66299999999995,,,,,,,1
276556860,7618649237,0,"[136004891, 136004881, 136004883]",yes,True,4,人民南路四段,primary,False,585.546,,,,,,,2
276558480,5619295514,0,136004880,yes,True,4,人民南路四段,primary,False,77.542,,,,,,,3
276558480,276558491,0,"[1001436539, 1001436532, 136008069]",yes,True,,人南立交,primary_link,False,222.834,,,,,,,4
276558491,1492613140,0,"[136007012, 458883924, 476637845]",yes,True,2,人南立交,secondary,False,293.962,,,,,,,5
276558558,314623102,0,28620970,,False,,广福路,tertiary,False,170.439,,,,,,,6
276558558,7882344907,0,844885539,,True,,,secondary,False,48.652,,,,,,,7
276558558,4222812826,0,163960677,,True,3,武侯大道双楠段,primary,False,447.089,,,,,,,8
288416369,5680666405,0,596242945,,False,,,unclassified,True,9.384,,,,,,,9
288416369,4444112371,0,642809739,,False,,,unclassified,False,19.753,,,,,,,10
288416369,4750956524,0,"[755365721, 136648666, 642809743]",yes,True,3,蓉都大道,primary,False,206.85,,,,,,,11
288416374,1815728532,0,28623889,,False,,,unclassified,True,20.517,,,,,,,12
288416374,3541376393,0,137133120,,True,,昭觉寺南路,primary,False,143.316,,,,,,,13
288416374,314655436,0,28623889,,False,,,unclassified,False,173.857,,,,,,,14
288416379,8722369259,0,184296328,,False,,平福巷,tertiary,False,15.245,,,,,,,15
288416379,1159231411,0,184255152,,True,3,解放路一段,primary,False,277.305,,,,,,,16
288416380,5213252919,0,132627766,,True,,一环路北四段,primary,False,19.325,,,,,,,17
288416380,1159230080,0,218383552,,True,3,解放路二段,primary,False,446.41,,,,,,,18
288416386,6224263520,0,458891632,,True,4,人民北路,primary,False,6.633,,,,,,,19
288416386,6224262558,0,409988943,,True,,武都路,secondary,False,668.1809999999999,,,,,,,20
288416399,3541389073,0,99811403,,False,,金琴路,tertiary,False,127.531,,,,,,,21
288416399,6557674599,0,99811403,,False,,金琴路,tertiary,True,8.343,,,,,,,22
288416399,1159445869,0,267216225,,True,3,抚琴西路,secondary,False,247.072,羊西线,,,,,,23
314614019,4550674931,0,28620362,,True,,高朋大道,secondary,False,14.821,,,,,,,24
314614019,7955374171,0,28620365,,True,,中环路科园大道段,primary,False,340.601,,,,,,,25
314614086,9718066870,0,28620365,,True,,中环路科园大道段,primary,False,288.106,,,,,,,26
314614086,4779165745,0,430205426,,False,,高朋东路,tertiary,False,71.305,,,,,,,27
