osmid,y,x,street_cou,highway,ref
276556859,30.6233211,104.0643896,3,,
276556860,30.6216871,104.0644103,3,,
276558480,30.622642,104.06449,3,,
276558491,30.622629,104.0659571,3,,
276558558,30.6424781,104.0253517,5,,
288416369,30.740806,104.1102077,4,,
288416374,30.7147948,104.100294,4,,
288416379,30.6898358,104.083862,3,,
288416380,30.6847522,104.080525,4,,
288416386,30.6799019,104.0690996,4,,
288416399,30.6809746,104.0336018,4,,
314614019,30.6191067,104.0317815,4,,
314614086,30.6171946,104.0339744,4,,
314614148,30.6113323,104.0476443,3,,
314614157,30.6112841,104.0496633,3,,
314614336,30.6416688,104.0527536,4,,
314614358,30.6305255,104.0456023,3,,
314614375,30.6218874,104.0399539,4,,
314622896,30.6548869,104.0664771,4,,
314622903,30.6485626,104.0389028,4,,
314622918,30.6607276,104.0580855,4,traffic_signals,
314622924,30.65015,104.0537838,4,,
314622931,30.6486908,104.0511678,3,,
314622958,30.644761,104.0459662,4,,
314622964,30.6461543,104.0637452,4,,
314622970,30.6427844,104.0352027,3,,
314622978,30.6548744,104.0086337,3,,
314622992,30.6505147,103.9859147,3,,
314623056,30.6165495,104.0154053,3,,
314623088,30.6534113,104.0347608,3,,
314623097,30.6469123,104.0351017,4,,
314623099,30.6394678,104.0306897,3,,
314623102,30.6434755,104.0267045,4,,
314623106,30.6456718,104.035148,3,,
314623112,30.6491419,104.0350235,4,,
314623117,30.6499932,104.0325831,3,,
314623138,30.6373225,104.0640242,3,,
314623148,30.6515842,104.0635976,3,,
314623160,30.6695736,104.068095,4,,
314635435,30.6318966,104.0360035,3,,
314635437,30.6368504,104.0393042,4,,
314635450,30.6340423,104.0373735,4,,
314635456,30.6408847,104.0325038,4,,
314635462,30.6439497,104.0318293,4,,
314635465,30.6442419,104.0351525,3,,
314635476,30.639527,104.0337578,4,,
314635488,30.6574171,104.0705385,3,,
314635491,30.6271927,104.0554865,4,,
314635497,30.6308703,104.0458255,3,,
314635503,30.6257631,104.0425565,3,,
314635512,30.6259899,104.042614,3,,
314654830,30.628729,104.0444735,3,,
314655016,30.6280198,104.0440144,3,,
314655017,30.6280339,104.044124,3,,
314655039,30.627425,104.0445255,3,,
314655092,30.6193901,104.0454194,4,,
314655153,30.6021117,104.0393748,4,,
314655170,30.628819,104.0491371,5,,
314655429,30.6398782,104.0365362,4,,
314655436,30.7142235,104.1019833,1,,
318083025,30.6726129,104.0189264,4,,
318083027,30.6733326,104.0147844,4,,
318083034,30.676249,103.9874411,3,motorway_junction,
318090571,30.6639395,103.9975716,4,,
318090585,30.6556568,104.0061901,3,,
318090605,30.6598101,104.0130367,3,,
318090606,30.6600432,104.0136054,3,,
337539008,30.6355523,104.0247668,4,,
337539093,30.6278888,104.0190227,4,,
337539164,30.6284597,104.0309081,3,,
337539180,30.626979,104.0300841,4,,
337539216,30.6243817,104.035215,4,,
337539262,30.6386619,104.0405524,3,,
337539380,30.6107225,104.05127,3,,
337539435,30.6109798,104.0581568,4,,
337539452,30.605508,104.0580414,4,,
337539496,30.6049676,104.0648723,4,,
337539525,30.6041957,104.0716645,4,,
337539543,30.6039073,104.074925,3,,
337539736,30.6053771,104.0610629,4,,
338246744,30.6533948,104.0297587,3,,
338246961,30.6105175,104.0649431,3,,
338247006,30.6110831,104.0655961,3,,
