u,v,key,osmid,oneway,highway,reversed,length,lanes,ref,maxspeed,bridge,name,width,access,junction,tunnel,service,area,fid
25503936,4722746638,0,479127843,1,motorway_link,False,32.388,,,,,,,,,,,,0
25503936,281726624,0,4256507,1,motorway_link,False,224.65500000000003,,,,,,,,,,,,1
25503951,1243857957,0,4256513,1,motorway_link,False,115.10499999999999,1,IC 1,60,,,,,,,,,2
25503951,4507024043,0,158906049,1,motorway_link,False,191.89200000000002,1,,,,,,,,,,,3
25504027,1243857999,0,"[4256491, 108390772, 479127839]",1,motorway_link,False,118.915,"['2', '1']",,40,yes,,,,,,,,4
25504163,25504183,0,"[479198379, 479198374]",1,trunk,False,77.19,3,"['EN 14', 'EN 14;EN 13']",90,,Via Norte,,,,,,,5
25504183,2486710630,0,"[479198378, 427967026]",1,trunk,False,272.90000000000003,4,"['EN 14', 'EN 14;EN 13']",90,,Via Norte,,,,,,,6
25507552,413275483,0,"[35006698, 34711004]",1,motorway,False,560.14,3,"['IP1', 'IC 23;A 20']",80,yes,Via de Cintura Interna,,,,,,,7
25507552,409114759,0,"[34884993, 480148036, 497147261]",1,motorway_link,False,283.215,2,,"['50', '40']",yes,,,,,,,,8
25507559,1731168926,0,480148045,1,motorway,False,321.704,3,IC 23;A 20,80,yes,Via de Cintura Interna,,,,,,,9
25507559,413301102,0,"[35260650, 484778540]",1,motorway_link,False,174.73900000000003,1,,,viaduct,,,,,,,,10
25507576,787318148,0,"[508107803, 29036532]",1,motorway,False,273.962,4,IP 1,80,viaduct,Via de Cintura Interna,,,,,,,11
25507576,4753795450,0,"[508107800, 508107795]",1,motorway_link,False,139.43200000000002,"['2', '1']",,,yes,,,,,,,,12
25507581,787318149,0,"[508107818, 484986691]",1,motorway,False,60.159,5,A20,80,viaduct,Via de Cintura Interna,,,,,,,13
25507582,114310699,0,12543151,1,motorway_link,False,307.46200000000005,1,,50,,,,,,,,,14
25507582,314545211,0,"[497150664, 35446606]",1,motorway,False,239.09,"['4', '5']",IP 1,80,viaduct,Via de Cintura Interna,,,,,,,15
25507591,4685582565,0,"[497150661, 497150663]",1,motorway,False,172.699,5,A20,80,viaduct,Via de Cintura Interna,,,,,,,16
25507594,25507600,0,"[29036544, 497153705, 29036543]",1,motorway,False,211.18899999999996,"['4', '3']","['IP 1', 'A 20;IP 1']",80,yes,Via de Cintura Interna,,,,,,,17
25507600,3693344965,0,"[497153702, 390157770, 365315019, 526113274, 140054045]",1,motorway,False,780.344,4,"['A 20;IP 1', 'IP1;A20']",80,yes,"['Ponte do Freixo', 'Via de Cintura Interna']",,,,,,,18
25620516,25620518,0,8366893,1,residential,False,64.458,,,,,Rua da Conceição,4,,,,,,19
25620516,1386051842,0,8366896,1,residential,False,191.077,,,,,Rua de José Falcão,4,,,,,,20
25620518,2852022741,0,31060211,1,residential,False,111.668,,,,,Rua do General Silveira,,,,,,,21
25620570,1106006327,0,34607518,1,residential,False,303.116,,,50,,Rua do Almada,,yes,,,,,22
25620570,25632376,0,8367098,1,residential,False,202.158,2,,,,Rua do Alferes Malheiro,,,,,,,23
25620653,25620570,0,34607518,1,residential,False,67.076,,,50,,Rua do Almada,,yes,,,,,24
25620653,4685392598,0,34607492,1,secondary,False,45.67,,,,,Rua de Gonçalo Cristóvão,4,,,,,,25
25620737,1386051849,0,1001166329,1,secondary,False,13.609,2,,,,Rua Elísio de Melo,,,,,,,26
25620737,25620947,0,1001166330,1,residential,False,86.228,,,50,,Rua do Almada,,yes,,,,,27
25620737,2246054719,0,1001166331,1,residential,False,29.562,,,50,,Rua do Almada,,yes,,,,,28
25620743,25620737,0,26119900,1,secondary,False,73.488,2,,,,Rua Elísio de Melo,,,,,,,29
25620743,9764806872,0,"[741944101, 1062979390]",1,"['secondary_link', 'secondary']",False,48.344,"['1', '3']",,50,,Avenida dos Aliados,,,,,,,30
25620747,25620743,0,215162243,1,secondary,False,29.195,2,,,,Rua Elísio de Melo,,,,,,,31
25620747,25632422,0,"[856996058, 734630276, 734631501]",1,secondary,False,156.672,3,,50,,Avenida dos Aliados,,,,,,,32
